id,source,create_time,create_time_ms,currency_pair,base_currency,quote_currency,side,role,amount,price,order_id,fee,fee_currency
earn_USDT_1766322894000,earn,1766322894,1766322894000,USDT_USDT,USDT,USDT,earn,earn,0.002881,0.0,,0.0,USDT
earn_HYPE_1766323359000,earn,1766323359,1766323359000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766326043000,earn,1766326043,1766326043000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766326858000,earn,1766326858,1766326858000,USDT_USDT,USDT,USDT,earn,earn,0.00286,0.0,,0.0,USDT
earn_HYPE_1766329527000,earn,1766329527,1766329527000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766330686000,earn,1766330686,1766330686000,USDT_USDT,USDT,USDT,earn,earn,0.002881,0.0,,0.0,USDT
spot_15949049,spot,1766332800,1766332800397,HYPE_USDT,HYPE,USDT,buy,taker,2.06,24.178,981734983533.0,0.00412,HYPE
earn_USDT_1766332800316,earn,1766332800,1766332800316,USDT_USDT,USDT,USDT,earn,earn,50.0,0.0,,0.0,USDT
earn_HYPE_1766332800414,earn,1766332800,1766332800414,HYPE_USDT,HYPE,USDT,earn,earn,2.05588,0.0,,0.0,HYPE
earn_HYPE_1766333696000,earn,1766333696,1766333696000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766334289000,earn,1766334289,1766334289000,USDT_USDT,USDT,USDT,earn,earn,0.002808,0.0,,0.0,USDT
earn_USDT_1766337060000,earn,1766337060,1766337060000,USDT_USDT,USDT,USDT,earn,earn,0.002808,0.0,,0.0,USDT
earn_HYPE_1766337158000,earn,1766337158,1766337158000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_HYPE_1766340654000,earn,1766340654,1766340654000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766341083000,earn,1766341083,1766341083000,USDT_USDT,USDT,USDT,earn,earn,0.002809,0.0,,0.0,USDT
earn_USDT_1766344411000,earn,1766344411,1766344411000,USDT_USDT,USDT,USDT,earn,earn,0.002808,0.0,,0.0,USDT
earn_HYPE_1766344992000,earn,1766344992,1766344992000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766347861000,earn,1766347861,1766347861000,USDT_USDT,USDT,USDT,earn,earn,0.002809,0.0,,0.0,USDT
earn_HYPE_1766348668000,earn,1766348668,1766348668000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766351697000,earn,1766351697,1766351697000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766352212000,earn,1766352212,1766352212000,USDT_USDT,USDT,USDT,earn,earn,0.002808,0.0,,0.0,USDT
earn_HYPE_1766355253000,earn,1766355253,1766355253000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766355839000,earn,1766355839,1766355839000,USDT_USDT,USDT,USDT,earn,earn,0.002809,0.0,,0.0,USDT
earn_HYPE_1766358360000,earn,1766358360,1766358360000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
